description,carb,fat,energy,protein,country,amount_type,queries
"['Tangerine, raw', 'Grilled cheese sandwich, Cheddar cheese, on white bread', 'Nutrition bar (Clif Bar)']","[14.54, 30.6, 44.5]","[0.34, 26.89, 4.0]","[57.77, 425.72, 235.28]","[0.88, 15.52, 10.0]",USA,natural,"I'm enjoying a snack of one raw tangerine, one grilled cheese sandwich, and one Clif Bar."
"['Water, bottled, unsweetened', 'Nutrition bar (PowerBar)']","[0.0, 47.35]","[0.0, 2.11]","[0.0, 246.84]","[0.0, 9.62]",USA,natural,"For breakfast, I’m drinking a bottle of water and eating a PowerBar."
"['Cookie, vanilla sandwich', 'Coffee, brewed']","[12.98, 0.0]","[3.6, 0.07]","[86.94, 3.6]","[0.81, 0.43]",USA,natural,I’m starting my day with a small brewed coffee and one Elfin vanilla sandwich cookie.
"['Chicken leg, drumstick and thigh, grilled with sauce, skin eaten']",[14.2],[24.02],[427.05],[36.35],USA,natural,"For lunch, it’s a medium chicken leg, drumstick and thigh, grilled and sauced, skin included."
"['Grilled cheese sandwich, American cheese, on white bread', 'Apple, raw', 'Water, bottled, unsweetened']","[33.29, 27.62, 0.0]","[22.3, 0.34, 0.0]","[383.96, 104.0, 0.0]","[12.49, 0.52, 0.0]",USA,natural,"For lunch, I have a grilled cheese sandwich, a medium apple, and a 12 oz bottle of unsweetened water."
"['Turnover, meat- and cheese-filled, no gravy', ""Cereal (Kellogg's Froot Loops)"", 'Milk, low fat (1%)']","[43.38, 25.52, 12.66]","[12.98, 0.99, 2.32]","[342.22, 108.75, 104.92]","[13.01, 1.54, 8.25]",USA,natural,"For dinner, I had a Hot Pocket filled with meat and cheese, along with a cup of Froot Loops cereal and a cup of low-fat milk."
"['Coffee, Cappuccino']",[6.62],[2.38],[64.8],[4.1],USA,natural,"For my snack, I'm drinking a cup of cappuccino."
"['Milk, reduced fat (2%)', 'Chicken or turkey noodle soup, canned or ready-to-serve']","[11.98, 7.4]","[4.64, 1.88]","[122.0, 57.84]","[8.17, 2.89]",USA,natural,Lunch today is a cup each of reduced-fat milk and chicken noodle soup from a can.
"['Biscuit, NFS', 'Pork sausage', 'Egg, whole, fried, from fast food / restaurant']","[19.27, 0.5, 0.37]","[8.51, 9.54, 8.46]","[166.5, 113.75, 105.05]","[3.19, 6.49, 6.44]",USA,natural,"For lunch today, it's a biscuit, a pork sausage, and a fried egg."
"['Cookie, fig bar, fat free']",[13.47],[1.39],[66.12],[0.7],USA,natural,"For my snack, I'm enjoying one Newton bar that's about 2 inches long and 1.5 inches wide."
"['Potato chips, sour cream and onion flavored', 'Water, bottled, unsweetened']","[15.66, 0.0]","[8.7, 0.0]","[136.36, 0.0]","[1.82, 0.0]",USA,natural,I'm enjoying a small single serving bag of potato chips with sour cream and onion flavor and a bottle of unsweetened water as my snack.
"['Chicken fillet sandwich, from school cafeteria', 'Orange juice, 100%, canned, bottled or in a carton', 'Milk, fat free (skim)']","[27.42, 15.12, 11.93]","[7.42, 0.16, 0.2]","[230.92, 64.19, 82.96]","[13.45, 0.89, 8.37]",USA,natural,"Lunch today consists of a chicken fillet sandwich from the cafeteria, a 4.23 fl oz orange juice box, and a cup of fat-free milk."
"['Chicken soup, baby food']",[8.14],[1.92],[56.5],[1.81],USA,natural,"For dinner, I'm having a jar of baby food chicken soup."
"['Taco or tostada with meat and beans, from fast food', 'Burrito with meat and beans, from fast food']","[25.64, 64.97]","[15.6, 18.9]","[284.62, 500.4]","[11.32, 19.54]",USA,natural,"I got a medium taco or tostada filled with meat and beans, and I'm pairing it with a medium burrito with the same ingredients for lunch."
"['Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)']",[26.0],[4.0],[148.05],[2.0],USA,natural,"For breakfast, I'm having a Nature Valley Chewy Granola Bar with yogurt coating."
"['Hamburger, from school cafeteria']",[23.55],[6.63],[221.4],[16.17],USA,natural,"For lunch, I had a hamburger from the school cafeteria."
"['Fruit juice drink (Capri Sun)', 'Cream cheese, regular, plain', 'Cheese sandwich, Cheddar cheese, on white bread, no spread']","[18.6, 0.83, 30.55]","[0.13, 5.17, 16.43]","[72.54, 52.5, 333.54]","[0.0, 0.92, 15.44]",USA,natural,"This morning, I’m having a Capri Sun, a cheddar cheese sandwich on white bread, and a tablespoon of regular cream cheese."
"['Meat, NFS']",[0.0],[11.12],[269.34],[39.73],USA,natural,"For my lunch, I have a cup of diced meat that’s ready to eat."
"['Tuna, canned, NS as to oil or water pack']",[0.13],[1.5],[144.0],[30.4],USA,natural,I'm just having a drained 6.5 oz can of tuna for dinner.
['Sweet and sour chicken or turkey'],[60.13],[31.88],[630.0],[25.45],USA,natural,"For dinner, I'm having a cup of sweet and sour chicken."
"['Water, bottled, unsweetened', 'Tea, iced, bottled, green, diet']","[0.0, 4.87]","[0.0, 0.0]","[0.0, 20.96]","[0.0, 0.0]",USA,natural,"For a snack, I’m having a bottle of water and a can of diet iced green tea."
"['Soft drink, cola, diet', 'Beef taco filling: beef, cheese, tomato, taco sauce']","[1.04, 12.91]","[0.11, 23.09]","[7.2, 369.24]","[0.4, 26.5]",USA,natural,I have a 12 fl oz can of diet cola along with a cup of beef taco filling for dinner.
"['Potato, scalloped, from fresh', 'Milk, fat free (skim)']","[33.75, 11.93]","[23.92, 0.2]","[417.5, 82.96]","[17.8, 8.37]",USA,natural,"For breakfast, I'm having a cup of fresh scalloped potatoes and a cup of fat-free skim milk."
['Cereal or granola bar (General Mills Fiber One Chewy Bar)'],[27.93],[4.0],[155.6],[2.0],USA,natural,I'm having a single Fiber One chewy bar as my lunch.
"['Cookie, chocolate chip', 'Taffy']","[6.86, 13.14]","[2.6, 1.28]","[51.66, 64.48]","[0.54, 0.13]",USA,natural,I’m enjoying one Chips Ahoy! cookie and a regular taffy as my afternoon snack.
"['Milk chocolate candy, plain', 'Graham crackers', 'Peach, raw']","[6.53, 11.65, 15.66]","[3.26, 1.59, 0.42]","[58.85, 64.5, 65.1]","[0.84, 1.0, 1.41]",USA,natural,"For a snack, I had a fun size milk chocolate candy bar, a large piece of graham cracker, and a cup of raw peach."
"['Frankfurter or hot dog sandwich, with chili, on white bun', 'Soft drink, cola']","[52.94, 38.54]","[33.68, 0.93]","[618.7, 156.24]","[24.51, 0.0]",USA,natural,"For lunch, I'm having a foot-long frankfurter sandwich with chili on a white bun and a can of cola."
"['Cheese sandwich, Cheddar cheese, on white bread, no spread']",[30.55],[16.43],[333.54],[15.44],USA,natural,"I have a cheese sandwich for breakfast, just cheddar cheese on white bread, no extras."
"['Bananas, baby food, NS as to strained or junior']",[2.48],[0.02],[9.3],[0.06],USA,natural,"For breakfast, I'm having a tablespoon of baby food bananas."
"['Chicken thigh, fried, coated, skin / coating eaten, from fast food']",[14.23],[21.6],[322.3],[17.84],USA,natural,I’ve got one fried chicken thigh coated in its skin for lunch.
"['SNICKERS Bar', 'Coconut candy, chocolate covered']","[10.46, 10.01]","[4.05, 4.52]","[83.47, 83.81]","[1.28, 0.78]",USA,natural,"For my snack, I've got a fun size SNICKERS and a fun size chocolate-covered coconut candy."
"['Water, bottled, unsweetened', 'Potato chips, plain', 'Corn dog, frankfurter or hot dog with cornbread coating']","[0.0, 15.07, 23.72]","[0.0, 9.51, 10.58]","[0.0, 148.96, 220.0]","[0.0, 1.79, 7.54]",USA,natural,"For lunch, I’m having a bottle of unsweetened water, a small bag of plain potato chips, and a corn dog."
"['Chewing gum, NFS']",[2.67],[0.01],[8.29],[0.0],USA,natural,I'm enjoying one piece of chewing gum right now.
['Polish sausage'],[3.77],[22.26],[252.75],[9.34],USA,natural,"Tonight, I’ll be eating one bun-sized Polish sausage."
"['Beans and rice, with meat']",[40.02],[7.21],[275.4],[12.73],USA,natural,I got a cup of beans and rice with meat for my lunch.
"['Pizza with pepperoni, from frozen, thick crust', 'Rice cake', 'Water, bottled, sweetened, with low calorie sweetener']","[55.38, 2.43, 0.31]","[17.49, 0.13, 0.0]","[466.32, 11.76, 2.4]","[21.92, 0.21, 0.0]",USA,natural,"For brunch, I'm having a thick crust pepperoni French bread pizza, a rice cake, and a cup of bottled water with a low-calorie sweetener."
"['Raisins', 'Fruit leather and fruit snacks candy']","[34.11, 21.92]","[0.11, 0.74]","[128.57, 94.9]","[1.42, 0.14]",USA,natural,"For a snack, I have a small box of raisins and a pouch of fruit leather."
"['Orange juice, 100%, canned, bottled or in a carton', 'Sausage and cheese on English muffin']","[57.24, 28.82]","[0.6, 23.56]","[243.04, 385.32]","[3.37, 15.14]",USA,natural,I’m starting my day with a sausage and cheese sandwich on an English muffin and a bottle of orange juice.
"['Coffee, brewed', 'Water, tap', 'Peach, raw', 'Coffee creamer, liquid, flavored', 'Banana, raw', 'Egg and cheese on biscuit']","[0.0, 0.0, 15.15, 10.52, 28.78, 24.15]","[0.05, 0.0, 0.4, 4.05, 0.42, 29.53]","[2.4, 0.0, 63.0, 75.3, 112.14, 420.0]","[0.29, 0.0, 1.36, 0.21, 1.37, 14.14]",USA,natural,"For breakfast, I had a cup of brewed coffee with 1 fl oz of flavored coffee creamer, a cup of tap water, a raw peach, a banana, and an egg and cheese sandwich on a biscuit."
"['Pork chop, fried, lean and fat eaten', 'Potato, home fries, NFS']","[0.0, 18.4]","[8.51, 13.03]","[170.91, 195.0]","[22.43, 1.92]",USA,natural,"For dinner, I'm having a medium fried pork chop and some home fries made from one potato."
"['Pancakes, plain, reduced fat', 'Turkey or chicken sausage']","[7.22, 0.38]","[1.92, 4.28]","[52.4, 69.65]","[1.52, 6.88]",USA,natural,I had one silver dollar pancake with a turkey sausage patty at brunch.
"['Cookie, butter or sugar', 'Water, tap']","[20.2, 0.0]","[5.86, 0.0]","[139.2, 0.0]","[1.6, 0.0]",USA,natural,"For a snack, I'm having a medium butter or sugar cookie and a cup of tap water."
"['Frankfurter or hot dog, beef', 'Roll, white, soft']","[1.73, 14.03]","[16.8, 1.09]","[188.67, 78.12]","[7.02, 2.74]",USA,natural,"For dinner, I'm having a beef frankfurter in a small white roll."
"['Soft taco with meat', 'Cheese, Swiss, reduced fat']","[26.7, 0.71]","[14.16, 1.07]","[290.82, 37.59]","[14.0, 5.96]",USA,natural,"For dinner, I'm having a medium soft taco with meat and a slice of reduced-fat Swiss cheese."
"['Tortilla chips, reduced fat, flavored', 'Orange, raw', 'Chocolate milk, ready to drink, low fat', 'Pizza with pepperoni, from school lunch, thin crust']","[22.14, 18.1, 25.17, 44.36]","[1.58, 0.18, 2.75, 12.24]","[115.08, 72.38, 158.72, 360.68]","[3.04, 1.45, 8.58, 18.15]",USA,natural,"For lunch, I'm having a small single serving bag of reduced fat flavored tortilla chips, a raw orange, and a cup of low-fat chocolate milk, along with a piece of thin crust pepperoni pizza from school."
"[""Water, bottled, flavored (Capri Sun Roarin' Waters)"", 'Topping, chocolate flavored hazelnut spread', 'Pretzels, hard, plain, salted', 'Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on whole wheat bread']","[8.1, 12.47, 8.04, 41.91]","[0.0, 5.95, 0.29, 18.76]","[32.4, 107.8, 38.4, 379.68]","[0.0, 1.08, 1.0, 14.04]",USA,natural,"For lunch, I'm having a Capri Sun pouch of flavored water, a peanut butter and jelly sandwich on whole wheat bread, a tablespoon of chocolate hazelnut spread, and a rod of plain salted pretzels."
"['Muffin, chocolate', 'Apple juice, 100%']","[65.82, 14.01]","[24.05, 0.16]","[508.3, 57.04]","[8.31, 0.12]",USA,natural,"For breakfast, I'm having a medium chocolate muffin and a container of 100% apple juice."
"['Licorice', 'Water, bottled, unsweetened']","[13.1, 0.0]","[0.01, 0.0]","[52.5, 0.0]","[0.0, 0.0]",USA,natural,I'm snacking on 10 pieces of licorice and drinking a cup of plain bottled water.
"['Chicken patty, breaded']",[9.63],[14.68],[215.25],[11.14],USA,natural,I'm eating a single chicken patty that's breaded for my dinner.
"['Cheese, Cheddar', 'Apple, raw', 'Water, tap']","[0.51, 22.79, 0.0]","[7.14, 0.28, 0.0]","[85.68, 85.8, 0.0]","[4.89, 0.43, 0.0]",USA,natural,"I’ve got a small apple, a slice of cheddar cheese, and a cup of water for dinner."
"['Cream, half and half', 'Sugar, white, granulated or lump', 'Coffee, brewed', 'Taco sauce', 'Potato, hash brown, from fast food', 'Egg, cheese, ham, and bacon on bun']","[1.29, 3.49, 0.0, 0.06, 15.88, 38.98]","[3.45, 0.01, 0.07, 0.06, 9.37, 29.9]","[39.3, 13.48, 3.6, 0.99, 149.6, 565.0]","[0.94, 0.0, 0.43, 0.1, 1.42, 32.72]",USA,natural,"This morning, I’m having a small brewed coffee with an ounce of half and half and a sugar packet. I also have a Jack-in-the-Box sandwich that has egg, cheese, ham, and bacon, along with a hash brown patty and some taco sauce."
"['Salisbury steak with gravy, potatoes, vegetable, dessert, frozen meal']",[66.32],[36.08],[804.96],[52.7],USA,natural,"I'm eating a 16.5 oz frozen dinner with Salisbury steak, some potatoes, a vegetable side, and a dessert."
['Cereal or granola bar (Quaker Granola Bites)'],[13.25],[3.5],[90.2],[1.43],USA,natural,I just opened a pouch of Quaker Granola Bites for my snack.
"['Cookie, chocolate or fudge', 'Milk, whole', 'Hard candy']","[21.81, 11.39, 13.72]","[4.26, 7.81, 0.03]","[129.9, 146.4, 55.16]","[1.98, 8.0, 0.0]",USA,natural,"For dinner, I'm having a medium cookie, a cup of whole milk, and a .5 oz hard candy."
"['Vegetable and chicken, baby food, junior']",[14.72],[1.9],[90.1],[3.47],USA,natural,"For lunch, it's just a jar of junior vegetable and chicken baby food."
"['Water, tap', 'Mushroom soup, cream of, prepared with water']","[0.0, 20.4]","[0.0, 15.89]","[0.0, 237.2]","[0.0, 4.03]",USA,natural,I made a can of cream of mushroom soup with water and I'm drinking a cup of tap water with it for lunch.
"['Nutritional drink or shake, ready-to-drink (Carnation Instant Breakfast)']",[32.12],[4.76],[223.2],[13.69],USA,natural,"This morning, I had a cup of ready-to-drink nutritional shake from Carnation Instant Breakfast."
"['Quarter Pounder with cheese (McDonalds)', 'Water, bottled, unsweetened']","[39.44, 0.0]","[28.8, 0.0]","[538.0, 0.0]","[30.42, 0.0]",USA,natural,I’m having a Quarter Pounder with cheese and a 16.9 fl oz bottle of water for lunch.
"['SNICKERS Bar', 'Milk shake, fast food, flavors other than chocolate', 'Cookie, chocolate sandwich']","[35.06, 43.88, 7.81]","[13.59, 14.6, 2.11]","[279.87, 331.52, 51.04]","[4.29, 7.55, 0.57]",USA,natural,"For a snack, I had a SNICKERS bar, a cup of a non-chocolate milkshake from a fast food place, and an Oreo sandwich cookie."
"['Potato chips, barbecue flavored', 'Soft drink, fruit flavored, caffeine containing']","[15.66, 47.73]","[8.7, 0.0]","[136.36, 182.28]","[1.82, 0.0]",USA,natural,"For dinner, I'm having a small single serving bag of barbecue flavored potato chips and a can of fruit flavored soft drink."
"['Soft drink, cola, diet', 'Chicken drumstick, NS as to cooking method, skin eaten', 'Chicken breast, NS as to cooking method, skin not eaten']","[1.04, 0.07, 0.0]","[0.11, 6.88, 4.28]","[7.2, 123.6, 172.8]","[0.4, 15.39, 33.65]",USA,natural,"I have a 12 fl oz can of diet cola, along with one drumstick and a breast of chicken for lunch."
"['Soft drink, cola', 'Taco sauce', 'Taco or tostada with meat, from fast food', 'Soft taco with beans']","[38.54, 0.12, 15.48, 36.05]","[0.93, 0.11, 9.91, 8.65]","[156.24, 1.76, 176.28, 263.64]","[0.0, 0.19, 6.91, 10.63]",USA,natural,"Tonight's dinner includes a can of cola, a Taco Bell taco, and a medium soft taco with beans, with a tablespoon of taco sauce to add some flavor."
"['Pasta with tomato-based sauce, cheese and meat']",[33.12],[17.42],[367.5],[18.85],USA,natural,"For my dinner, I have a cup of pasta mixed with tomato sauce, cheese, and meat."
"['Polish sausage', 'Mimosa', 'Honey mustard dip']","[11.42, 12.85, 3.79]","[67.37, 0.11, 2.68]","[764.99, 117.0, 40.05]","[28.26, 0.68, 0.26]",USA,natural,"For dinner, I'm having a 10-inch Polish sausage with a drink of Mimosa and a tablespoon of honey mustard dip."
"['Tea, hot, leaf, black']",[1.08],[0.0],[3.6],[0.0],USA,natural,Just having a small cup of hot black tea for my snack.
"['Water, bottled, unsweetened', 'Coffee cake, crumb or quick-bread type']","[0.0, 33.3]","[0.0, 11.49]","[0.0, 247.65]","[0.0, 4.15]",USA,natural,"For breakfast, I'm having a 12 fl oz bottle of unsweetened water and a twin-pack of Drake's coffee cake, which is 2.3 oz."
"['Water, tap', 'Cereal or granola bar, fruit and nut', 'Iced Coffee, brewed']","[0.0, 17.72, 0.0]","[0.0, 12.76, 0.05]","[0.0, 194.8, 2.4]","[0.0, 5.48, 0.22]",USA,natural,"For a snack, I'm having a cup of tap water, a fruit and nut granola bar, and a cup of brewed iced coffee."
"['Banana, raw', 'Yogurt, nonfat milk, flavors other than fruit', 'Fruit and vegetable smoothie, bottled']","[28.78, 17.75, 31.07]","[0.42, 0.31, 0.64]","[112.14, 112.2, 131.44]","[1.37, 9.45, 1.49]",USA,natural,"For a snack, I'm having one raw banana, a 6 oz container of nonfat flavored yogurt, and a cup of bottled fruit and vegetable smoothie."
"['Crackers, sandwich, peanut butter filled']",[4.09],[1.72],[34.58],[0.8],USA,natural,I'm having a peanut butter-filled sandwich cracker for a snack.
"['Apple, raw', 'Cheese, Cheddar, reduced fat']","[27.62, 0.76]","[0.34, 5.79]","[104.0, 89.59]","[0.52, 7.75]",USA,natural,I'm having a medium raw apple with a stick of reduced-fat cheddar cheese as a snack.
['Rum'],[0.0],[0.0],[97.02],[0.0],USA,natural,I'm having a shot of rum as a snack.
"['Coffee, brewed', 'Roll, sweet, cinnamon bun, frosted', 'Coffee creamer, liquid, flavored']","[0.0, 43.74, 5.26]","[0.07, 23.95, 2.02]","[3.6, 406.8, 37.65]","[0.43, 4.0, 0.1]",USA,natural,"I’ve got a small cup of brewed coffee, a medium sweet cinnamon bun with frosting, and a single serving of flavored coffee creamer for breakfast."
"['Tortilla chips, plain', 'Pasta, cooked', 'Chicken breast, rotisserie, skin not eaten', 'Water, bottled, unsweetened']","[20.33, 42.95, 0.0, 0.0]","[6.2, 1.29, 4.82, 0.0]","[141.6, 219.8, 194.4, 0.0]","[2.13, 8.06, 37.85, 0.0]",USA,natural,"For lunch, I'm having a cup of plain tortilla chips with a cup of cooked pasta and a cup of diced rotisserie chicken breast. I’m also drinking a cup of bottled water."
"['Tea, hot, herbal', 'Sugar substitute, sucralose, powder']","[0.72, 0.09]","[0.0, 0.0]","[3.6, 0.34]","[0.0, 0.0]",USA,natural,I made a small cup of hot herbal tea and added a tablet of sucralose as a sugar substitute for my snack.
"['Turnover, cheese-filled, tomato-based sauce', 'Almond milk, sweetened']","[40.15, 12.79]","[13.9, 2.27]","[345.6, 73.2]","[15.07, 0.93]",USA,natural,"For dinner, I'm having a Hot Pockets Four Cheese Pizza turnover with a cup of sweetened almond milk."
"['Avocado, raw', 'Orange, raw']","[12.8, 18.1]","[21.99, 0.18]","[240.0, 72.38]","[3.0, 1.45]",USA,natural,"For a snack, I'm having one raw avocado and one raw orange."
"['Water, bottled, sweetened, with low calorie sweetener', 'Soft drink, cola, diet']","[0.47, 1.04]","[0.0, 0.11]","[3.6, 7.2]","[0.0, 0.4]",USA,natural,"For a snack, I'm having a bottle of low-calorie sweetened water, and a can of diet cola."
"['Pizza, cheese, from restaurant or fast food, medium crust', 'Water, tap']","[39.66, 0.0]","[11.53, 0.0]","[316.54, 0.0]","[13.55, 0.0]",USA,natural,"For dinner, it's a piece of cheese pizza along with a cup of water."
"['Potato, french fries, fast food', 'Soft drink, pepper type']","[60.09, 53.04]","[21.36, 1.28]","[452.4, 215.04]","[4.97, 0.0]",USA,natural,I’m eating a medium order of French fries and sipping on a medium pepper soft drink for lunch.
"['Tea, hot, herbal', 'Water, bottled, unsweetened']","[0.48, 0.0]","[0.0, 0.0]","[2.4, 0.0]","[0.0, 0.0]",USA,natural,I made myself a cup of hot herbal tea and poured a cup of bottled unsweetened water for a quick snack.
"['Beer, higher alcohol']",[1.3],[0.0],[278.4],[4.32],USA,natural,"For a snack, I'm enjoying a 16 fl oz bottle of higher alcohol beer."
"['Alexander', 'Water, bottled, unsweetened']","[17.05, 0.0]","[3.45, 0.0]","[214.2, 0.0]","[0.94, 0.0]",USA,natural,"For a snack, I'm having a drink called Alexander and a bottle of unsweetened water, which is 16.9 fl oz."
"['Banana, raw', 'Yogurt, Greek, low fat milk, fruit']","[28.78, 7.01]","[0.42, 1.46]","[112.14, 59.85]","[1.37, 4.66]",USA,natural,"For breakfast, I'm having 1 banana and a tube of low-fat Greek yogurt with fruit."
"['Cookie, marshmallow and peanut butter, with oat cereal, no bake', 'Fruit juice drink (Capri Sun)', 'Cookie, chocolate chip']","[20.12, 18.6, 16.34]","[2.25, 0.13, 6.18]","[104.25, 72.54, 123.0]","[0.85, 0.0, 1.27]",USA,natural,"For a snack, I'm having a small bar of no-bake marshmallow and peanut butter cookie with oat cereal, a Capri Sun pouch, and a small chocolate chip cookie bar."
['Sausage on biscuit'],[35.09],[28.57],[434.07],[11.31],USA,natural,"This morning, I enjoyed a regular sausage on a biscuit from McDonald's."
"['Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on white bread']",[48.45],[13.06],[358.4],[13.94],USA,natural,I'm enjoying a peanut butter and jelly sandwich for dinner. It’s got reduced fat peanut butter and reduced sugar jelly on white bread.
"['Cheese, Mozzarella, part skim', 'Cookie, marshmallow, with rice cereal, no bake', 'Orange, raw']","[1.26, 30.59, 18.1]","[5.78, 3.42, 0.18]","[84.48, 158.46, 72.38]","[6.72, 1.29, 1.45]",USA,natural,"For a snack, I'm having a stick of part-skim mozzarella cheese, a medium no-bake marshmallow rice cereal cookie, and a raw orange."
"['Hard candy', 'Apple juice, 100%', 'Fruit leather and fruit snacks candy', 'Banana, raw']","[14.7, 23.62, 21.92, 28.78]","[0.03, 0.27, 0.74, 0.42]","[59.1, 96.14, 94.9, 112.14]","[0.0, 0.21, 0.14, 1.37]",USA,natural,"I grabbed a candy cane, a 6.75 fl oz juice box of apple juice, a pouch of fruit snacks, and a banana for my snack."
"['Snack mix', 'Milk shake, fast food, flavors other than chocolate']","[17.57, 79.34]","[7.17, 26.41]","[140.56, 599.4]","[1.96, 13.65]",USA,natural,"For my snack, I've got a small bag of snack mix and a small non-chocolate milk shake."
"['Fruit flavored drink, powdered, not reconstituted', 'Water, bottled, unsweetened']","[16.64, 0.0]","[0.17, 0.0]","[64.6, 0.0]","[0.0, 0.0]",USA,natural,"For a snack, I'm enjoying a serving of powdered fruit drink and a 16.9 fl oz bottle of water."
"['Chicken, NS as to part, fried, coated, skin / coating eaten']",[6.07],[12.77],[213.35],[18.49],USA,natural,"I have a piece of fried chicken for lunch, and I've got the coating and skin on it."
"['Water, tap', 'Chicken and rice dinner, baby food, strained']","[0.0, 10.4]","[0.0, 1.02]","[0.0, 57.63]","[0.0, 1.81]",USA,natural,"For lunch, I had some strained chicken and rice baby food and washed it down with an ounce of tap water."
"['Chocolate milk, NFS', 'Frankfurter or hot dog sandwich, beef, plain, on white bun', 'Freezer pop']","[33.38, 24.29, 9.62]","[0.0, 18.56, 0.12]","[166.16, 314.16, 39.5]","[8.41, 11.41, 0.0]",USA,natural,"For dinner, I’m having a cup of chocolate milk, a frankfurter on a white bun, and a freezer pop."
"['Cookie, oatmeal sandwich, with creme filling', 'Cookie, butter or sugar, with icing or filling other than chocolate', 'Water, tap']","[7.79, 30.53, 0.0]","[2.56, 6.27, 0.0]","[55.72, 181.86, 0.0]","[0.37, 1.42, 0.0]",USA,natural,"I’m having a snack that includes an oatmeal sandwich cookie with creme filling, a medium cookie with icing, and a cup of water."
"['Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on white bread', 'Nutritional drink or shake, ready-to-drink (Ensure)']","[54.91, 42.54]","[13.04, 6.38]","[381.92, 264.6]","[13.98, 9.58]",USA,natural,"For lunch, I'm eating a peanut butter and jelly sandwich on white bread with reduced fat peanut butter, and I have a cup of Ensure to drink."
"['Soft drink, cola', 'Rice, fried, meatless']","[38.54, 53.95]","[0.93, 5.3]","[156.24, 288.84]","[0.0, 6.37]",USA,natural,"For lunch, it's a cup of meatless fried rice paired with a 12 fl oz cola."
"['Energy drink (Monster)', 'Corn, fresh, cooked, fat added, NS as to fat type']","[55.95, 19.56]","[0.0, 4.15]","[233.12, 114.48]","[2.33, 3.42]",USA,natural,"For a snack, I'm having a can of Monster energy drink and a regular ear of cooked corn with some added fat."
"['Soft drink, fruit flavored, caffeine free', 'Chicken, bacon, and tomato club sandwich, with lettuce and spread']","[62.87, 47.69]","[0.12, 19.32]","[248.0, 528.0]","[0.31, 41.26]",USA,natural,"I’ve got a 20 fl oz bottle of fruit-flavored soft drink and a sandwich loaded with chicken, bacon, tomato, lettuce, and some spread for lunch."
"['Bread, wheat or cracked wheat, toasted', 'Pork bacon, NS as to fresh, smoked or cured, cooked']","[13.06, 0.14]","[1.25, 2.81]","[75.25, 37.44]","[2.93, 2.71]",USA,natural,I started my day with a medium toasted slice of wheat bread and a medium slice of cooked pork bacon.
"['Cereal or granola bar (General Mills Fiber One Chewy Bar)', 'Water, bottled, unsweetened']","[27.93, 0.0]","[4.0, 0.0]","[155.6, 0.0]","[2.0, 0.0]",USA,natural,I started my day with one bar of General Mills Fiber One Chewy Bar and a 16.9 fl oz bottle of water.
"['Sports drink (Gatorade G)', 'Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on white bread']","[23.92, 54.91]","[0.0, 13.04]","[96.72, 381.92]","[0.0, 13.98]",USA,natural,"I’m enjoying a sandwich with reduced fat peanut butter and regular jelly on white bread, along with a 12 fl oz bottle of Gatorade."
"['Veal Marsala', 'Wine, table, red']","[6.26, 4.7]","[8.22, 0.0]","[165.12, 153.0]","[15.99, 0.13]",USA,natural,Tonight's dinner includes a slice of Veal Marsala with sauce and a glass of red wine.
['Soft taco with chicken'],[24.43],[11.14],[255.3],[14.4],USA,natural,"For brunch, I’ll eat a medium chicken soft taco."
"['Nutrition bar or meal replacement bar, NFS', 'Orange, raw', 'Sugar substitute, stevia, powder', 'Grapefruit, raw']","[15.3, 18.1, 1.0, 16.42]","[4.76, 0.18, 0.0, 0.22]","[144.84, 72.38, 0.0, 64.68]","[10.2, 1.45, 0.0, 1.19]",USA,natural,"For a snack, I'm having a nutrition bar, a raw orange, a packet of stevia, and half a grapefruit."
"['Snack mix, plain (Chex Mix)']",[21.19],[2.8],[119.84],[2.47],USA,natural,I have a small single serving bag of plain Chex Mix for a snack.
"['Chicken leg, drumstick and thigh, baked or broiled, skin not eaten']",[0.0],[8.56],[201.6],[29.29],USA,natural,"I’m having a medium chicken leg for dinner, which is a baked drumstick and thigh, and I didn’t eat the skin."
"['Burrito with meat and sour cream', 'Water, bottled, unsweetened']","[66.29, 0.0]","[77.11, 0.0]","[1198.88, 0.0]","[58.47, 0.0]",USA,natural,I'm enjoying a large meat burrito with sour cream and a 500 ml bottle of unsweetened water for lunch.
"['Cheese flavored corn snacks (Cheetos)', 'Skittles', 'Water, bottled, unsweetened']","[30.51, 18.16, 0.0]","[20.53, 0.87, 0.0]","[319.2, 81.0, 0.0]","[3.33, 0.04, 0.0]",USA,natural,"I have a medium bag of Cheetos, a fun size pack of Skittles, and I'm drinking a 16.9 fl oz bottle of water for my snack."
"['Apple, raw', 'Peanut butter', 'Marshmallow', 'Cheese, Mozzarella, part skim']","[4.7, 3.57, 5.69, 1.26]","[0.06, 8.18, 0.01, 5.78]","[17.68, 95.52, 22.26, 84.48]","[0.09, 3.6, 0.13, 6.72]",USA,natural,"Lunch today includes a single serving of raw apple, a tablespoon of peanut butter, one marshmallow, and one stick of part-skim mozzarella."
